collection_slug,collection_name_pt_br,collection_name_en,collection_name_es,section_code,section_type,section_name_pt_br,section_name_en,section_name_es,sticker_code,sticker_type,sticker_name_pt_br,sticker_name_en,sticker_name_es,album_order,section_order,player_name,country_iso2,wikidata_id
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 4,PLAYER,Ladislav Krejci,Ladislav Krejci,Ladislav Krejci,73,4,Ladislav Krejci,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 5,PLAYER,Vladimir Coufal,Vladimir Coufal,Vladimir Coufal,74,5,Vladimir Coufal,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 6,PLAYER,Jaroslav Zeleny,Jaroslav Zeleny,Jaroslav Zeleny,75,6,Jaroslav Zeleny,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 7,PLAYER,Tomas Holes,Tomas Holes,Tomas Holes,76,7,Tomas Holes,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 8,PLAYER,David Zima,David Zima,David Zima,77,8,David Zima,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 9,PLAYER,Michal Sadilek,Michal Sadilek,Michal Sadilek,78,9,Michal Sadilek,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 10,PLAYER,Lukas Provod,Lukas Provod,Lukas Provod,79,10,Lukas Provod,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 11,PLAYER,Lukas Cerv,Lukas Cerv,Lukas Cerv,80,11,Lukas Cerv,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 12,PLAYER,Tomas Soucek,Tomas Soucek,Tomas Soucek,81,12,Tomas Soucek,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 13,TEAM,Team Photo,Team Photo,Team Photo,82,13,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 14,PLAYER,Pavel Sulc,Pavel Sulc,Pavel Sulc,83,14,Pavel Sulc,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 15,PLAYER,Matej Vydra,Matej Vydra,Matej Vydra,84,15,Matej Vydra,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 16,PLAYER,Vasil Kusej,Vasil Kusej,Vasil Kusej,85,16,Vasil Kusej,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 17,PLAYER,Tomas Chory,Tomas Chory,Tomas Chory,86,17,Tomas Chory,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 18,PLAYER,Vaclav Cerny,Vaclav Cerny,Vaclav Cerny,87,18,Vaclav Cerny,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 19,PLAYER,Adam Hlozek,Adam Hlozek,Adam Hlozek,88,19,Adam Hlozek,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CZE,NATIONAL_TEAM,Czechia,Czechia,Czechia,CZE 20,PLAYER,Patrik Schick,Patrik Schick,Patrik Schick,89,20,Patrik Schick,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CAN,NATIONAL_TEAM,Canada,Canada,Canada,CAN 1,BADGE,Emblem,Emblem,Emblem,90,1,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,CAN,NATIONAL_TEAM,Canada,Canada,Canada,CAN 2,PLAYER,Dayne St.Clair,Dayne St.Clair,Dayne St.Clair,91,2,Dayne St.Clair,,
